1.72,0.92,32.715,-50.179,0,0,0,0,0,0,0,0.47073,0,0,0,0,0,0,0.077518,0.014988,0,0,0,0,0,0.2466,0,0.50726,0.9822,0.76042,0.070023,0.15082,0.15082,0,0,0.37073,0,0,0,0,0.050585,0,0,0,0.12904,0.11991,0,0,0.19157,0.13115,0,0,0,0.30843,0,0,0.21967,0,0,0.17728,0,0,0.36183,0,0,0.0046838,0.17986,0
2.52,0.92,26.312,-48.023,0,0,0,0,0,0,0,0.47963,0,0,0,0,0,0,0,0.016862,0,0,0,0,0,0.20468,0.31803,0.48103,0.97166,0.8363,0.21733,0.17026,0.041218,0,0,0.39578,0.067447,0,0,0,0.1904,0.03185,0,0,0.1267,0.28103,0,0,0.34707,0.16089,0,0,0,0.24871,0,0,0.21452,0.051522,0,0.10609,0,0,0.33232,0,0,0,0.029977,0
3.32,0.92,17.073,-46.85,0,0,0,0,0,0,0,0.40656,0,0,0,0,0,0,0.021546,0.042623,0,0,0,0.0025761,0.0056206,0.15948,0,0.526,0.96323,0.59274,0,0.10164,0.096956,0,0,0.39953,0,0,0,0,0.31218,0,0,0,0.12623,0.16932,0,0.0037471,0.18571,0.17892,0,0,0.037471,0.30258,0,0,0.23724,0.082904,0,0.067916,0,0,0.21827,0,0,0.014052,0.19297,0
4.12,0.92,13.893,-43.081,0,0,0,0,0,0,0,0.33138,0,0,0,0,0,0,0.11429,0.021077,0,0,0,0,0.15621,0.23934,0,0.48759,1,0.70539,0,0,0.039344,0,0,0.41311,0,0,0,0,0.34988,0,0,0,0.041218,0.09555,0,0.014988,0.13489,0.19297,0,0,0,0.18782,0,0,0.22272,0.18852,0,0.085714,0,0.02623,0.30234,0,0,0,0.19906,0
4.92,0.92,12.703,-40.877,0,0,0,0,0,0,0,0.46862,0,0,0,0,0,0,0.037471,0.042389,0,0,0,0,0.17166,0.19742,0,0.50773,1,0.9445,0,0.0039813,0,0,0,0.39344,0,0,0,0,0.29625,0.074941,0,0,0.19415,0,0,0.016393,0.11499,0.2192,0,0,0,0.19789,0,0,0.16019,0.18384,0,0.023419,0,0,0.17237,0,0,0,0.21054,0
5.07,0.92,11.861,-40.834,0,0,0,0,0,0,0,0.42365,0,0,0,0,0,0,0.014754,0.067916,0,0,0,0,0.20539,0.19813,0.037705,0.57283,1,0.44707,0.23934,0.17681,0,0,0,0.36511,0.059016,0,0,0,0.33349,0,0,0,0.1555,0.043091,0,0.0084309,0.12927,0.23302,0,0,0,0.13513,0,0,0.26253,0.18876,0,0.14005,0,0.043794,0.31546,0,0,0,0.21194,0
5.87,0.92,8.028,-41.342,0,0,0,0,0,0,0,0.38923,0,0,0,0,0,0,0.11452,0.081499,0,0,0,0,0.31803,0.17377,0,0.61429,0.97845,0.7082,0,0.21546,0,0,0,0.37658,0.10023,0,0,0,0.23958,0,0,0,0.044028,0,0,0.014988,0.099766,0.13981,0,0,0,0.16792,0,0,0.28173,0.0084309,0,0.10562,0,0,0.30632,0,0,0,0.033489,0
6.67,0.92,12.388,-41.517,0,0,0,0,0,0,0,0.43021,0,0,0,0,0,0,0.137,0.015222,0,0,0,0,0.42014,0.20328,0.24731,0.50703,0.86464,0.93419,0.18173,0.31077,0.20094,0,0,0.40117,0.041218,0,0,0,0.20656,0,0,0,0.14169,0.059485,0,0,0.12319,0.13068,0,0,0,0.063232,0,0,0.32763,0.17354,0,0.096487,0,0.018735,0.27799,0,0,0,0.28009,0
7.47,0.92,14.272,-43.909,0,0,0,0.022951,0,0,0,0.24122,0,0,0.0098361,0.022951,0,0,0.053162,0.17705,0.028337,0,0,0,0.48571,0.32319,0,0.56838,0.86862,0.96581,0.35902,0.11803,0,0,0,0.22436,0,0,0,0,0.30468,0,0,0,0.18314,0.052459,0,0,0.055972,0.27143,0,0,0,0.11194,0,0,0.2534,0.13208,0,0.061358,0.02623,0.02623,0.18829,0,0,0.0058548,0.34075,0.036066
8.27,0.92,15.061,-48.748,0,0,0,0.10773,0.03466,0,0,0.4,0.013115,0,0,0,0,0,0.029977,0.029508,0.11241,0,0,0,0.47143,0.47447,0,0.50656,0.95714,0.64848,0,0.11148,0,0,0,0.36909,0.25105,0,0,0,0.4007,0,0,0,0.3356,0.020609,0,0,0.057377,0.24028,0,0,0,0.10749,0,0,0.30375,0.098595,0,0.13466,0,0,0.2911,0,0,0,0.31593,0.070726
